date,return_pct,day_range_pct,cir,breadth_ratio,volume_ratio,dispersion_ratio,concentration_ratio,sector_participation,vix_close,vix_change_pct,coincident_label,km_3,km_4,km_5,km_6,km_7,gmm_3,gmm_4,gmm_5,best_cluster
2020-01-07,0.4994559348956429,1.21795908885376,0.32425068119891415,0.7231089521165857,1.1058560074960488,0.9179245749758467,1.053034009049933,1.0,14.61,-1.1502029769959399,Range,1,1,2,1,1,1,0,2,2
2020-01-08,-0.2289895834629685,0.9592236400603754,0.8300823580407429,0.3640776699029126,1.0849200803003587,0.9091522188957449,0.9718794829464225,0.8333333333333334,15.64,7.049965776865164,Range,0,0,0,2,2,0,0,1,0
2020-01-09,1.5845692640962472,0.7490238132270238,0.9109289617486379,0.8186206896551724,1.1516171311526693,1.0714793864339889,1.023342859268898,0.9166666666666666,14.0,-10.48593350383632,Trend-Up,1,1,2,1,1,1,2,1,2
2020-01-10,0.3348095514861704,0.7995561647412049,0.4448979591836586,0.5715277777777777,1.137399790895579,0.9963067205633748,1.0463419839380377,1.0,14.08,0.5714285714285783,Range,1,1,2,1,1,1,0,3,2
2020-01-13,0.5935480712747188,0.4213454667850873,0.84215591915302,0.6731034482758621,1.0189302582163406,1.057200227782995,1.1070630094720706,1.0,14.28,1.4204545454545414,Trend-Up,1,1,2,1,1,1,2,1,2
2020-01-14,0.2656220218904881,0.5302411363581152,0.8176964149504065,0.5919778699861687,1.1031772107381508,0.9476725106721171,1.1131697517271122,0.6666666666666666,13.91,-2.591036414565817,Range,1,1,3,1,1,1,0,3,3
2020-01-15,-0.15369308300234863,0.6189592734519913,0.8448952879581096,0.6044107512060648,1.118122355060387,1.0922428673084852,1.024766598242634,0.3333333333333333,14.12,1.5097052480230078,Range,0,0,4,4,3,0,0,3,4
2020-01-16,0.09883904628422702,0.5928533851321274,0.5419795221843102,0.6006993006993007,1.0546745174293228,0.9538218337097853,0.8043448832585468,0.8333333333333334,14.18,0.4249291784702569,Range,1,1,2,1,1,1,0,3,2
2020-01-17,-0.02549471895106903,0.5185248151161609,0.4832162373146011,0.5052337752965806,1.1658317137111953,1.0237891085267643,1.2046358321279282,0.4166666666666667,14.13,-0.35260930888574293,Range,0,0,3,0,6,0,0,3,3
2020-01-20,-1.034620942573694,1.7473035817269378,0.03581460674157127,0.3043175487465181,1.0958984631570572,0.8750634038237748,1.2355360584151536,0.8333333333333334,15.41,9.058740268931341,Trend-Down,2,3,0,2,2,0,1,0,0
2020-01-21,-0.44746023371002863,0.556703656988377,0.11143911439116003,0.40415224913494807,1.0400312556516933,0.8802466218788932,1.0656428227016812,0.8333333333333334,15.86,2.9201817001946795,Trend-Down,0,3,0,2,2,0,1,0,0
2020-01-22,-0.5172619218807184,1.1328250832170055,0.13853445133066022,0.3777932960893855,1.0851513372718882,0.8230495710451294,0.9371428988922615,0.75,16.36,3.1525851197982346,Trend-Down,0,3,0,2,2,0,1,0,0
2020-01-23,0.6066788360356457,0.7791237526015232,0.9088514225500561,0.6033755274261603,1.2792949172476955,0.9150640864486039,1.104043567388895,0.9166666666666666,15.86,-3.0562347188264005,Trend-Up,1,1,2,1,1,1,2,1,2
2020-01-24,0.5574552455389181,1.0001428775539363,0.8048979591836765,0.590749824807288,1.0495168143049696,0.8592261070999472,0.9067612622090283,0.75,15.56,-1.8915510718789386,Trend-Up,1,1,2,1,1,1,2,1,2
2020-01-27,-1.0552527912150667,0.9043650466210115,0.10948905109489014,0.36772853185595566,0.9988913456880828,0.9596949673966263,0.9823644683611641,0.9166666666666666,17.18,10.411311053984562,Trend-Down,2,3,0,2,2,0,1,0,0
2020-01-28,-0.5214951728690576,1.1533867516050307,0.225098885293056,0.29573590096286106,1.1295248704579643,0.8658318259708766,1.1091549735008521,0.6666666666666666,17.3,0.6984866123399325,Trend-Down,0,0,3,2,2,0,1,0,3
2020-01-29,0.6113240100200867,0.5424790799291075,0.3905775075987888,0.5538461538461539,1.0836641960058941,0.898652339225402,0.9852452541306912,0.9166666666666666,16.5,-4.624277456647407,Range,1,1,2,1,1,1,0,3,2
2020-01-30,-0.772496805309375,1.1607039000315633,0.1803865425912606,0.22805805114029026,1.0779895931692562,0.8620380963096551,0.9541559373037926,1.0,16.8,1.81818181818183,Trend-Down,2,3,0,2,2,0,1,0,0
2020-01-31,-0.6123398527725477,1.3183303934927721,0.10304375396322202,0.3408769448373409,1.2046754806203648,0.8815863813904473,1.059610721809586,0.6666666666666666,17.37,3.392857142857153,Trend-Down,0,3,0,2,2,0,1,0,0
2020-02-03,-2.125044933581899,1.156057021327483,0.6900628001477606,0.3693379790940767,1.1845486963790206,1.1152183972897702,0.9841790103372801,1.0,15.78,-9.153713298791033,Range,0,3,0,2,2,2,3,4,0
2020-02-04,2.321082346108194,1.6924534523128805,0.967940813810111,0.7302816901408451,1.1576771051914903,1.3869372623528542,0.8663164581172894,1.0,14.38,-8.871989860583007,Trend-Up,1,1,2,1,4,1,2,1,2
2020-02-05,0.9140500765882242,1.1977682467336352,0.9378453038674031,0.5780918727915194,1.176779312483256,1.0880295173826635,0.9670361614495051,0.9166666666666666,14.17,-1.4603616133518793,Trend-Up,1,1,2,1,1,1,2,1,2
2020-02-06,0.4036677516616294,0.6257234541252906,0.7017774851876311,0.5893482831114225,1.1949340158008859,1.0854595859109037,0.9411951904462661,0.75,13.78,-2.752293577981657,Range,1,1,2,1,4,1,2,3,2
2020-02-07,-0.32624949023517535,0.6674463873172788,0.3021671826625342,0.49297752808988765,0.98376727581076,1.0398173054661402,0.7698360280315516,0.5833333333333334,13.75,-0.2177068214804012,Range,0,0,4,4,3,0,0,3,4
2020-02-10,-0.5525546872094167,0.9375389602293918,0.36125886524822926,0.3259361997226075,0.8797716121502764,1.204466110175956,0.7880194824447193,1.0,14.21,3.3454545454545626,Trend-Down,2,3,0,2,2,0,1,0,0
2020-02-11,0.6349997922121098,0.605389869424089,0.12141882673942325,0.42676944639103015,0.9088323040121821,1.062717277137442,0.8876457532913835,0.9166666666666666,13.88,-2.3223082336382816,Range,0,0,4,2,2,0,0,3,4
2020-02-12,0.770571279908161,0.7167327803822634,0.6506575185820581,0.3702928870292887,0.9306023896456146,1.15166967985447,1.0052729142825425,0.6666666666666666,13.62,-1.8731988472622585,Trend-Up,0,0,4,4,4,1,0,3,4
2020-02-13,-0.21760154738879045,0.7051537415860034,0.40594059405940847,0.4244755244755245,0.8870663305188046,1.1449889810198008,0.9750680869494968,0.5833333333333334,13.37,-1.8355359765051427,Range,0,0,4,4,3,0,0,3,4
2020-02-14,-0.5026838553880308,1.2836970474967906,0.14308681672025725,0.3203342618384401,0.9891471102920673,1.2965241526073181,1.088315439901089,1.0,13.62,1.8698578908002972,Trend-Down,2,3,0,2,2,0,1,0,0
2020-02-17,-0.5584701303097073,1.0177821315313251,0.07177814029363169,0.2604166666666667,0.8689299620078316,1.0110918559767568,1.0883846637388714,0.9166666666666666,14.42,5.873715124816448,Trend-Down,2,3,0,2,2,0,1,0,0
2020-02-18,-0.4424778761061843,1.0231394621638583,0.6882640586797084,0.3157162726008345,0.9898441803314513,1.0198142077517263,0.9928859104609171,0.8333333333333334,14.51,0.6241331484049928,Range,0,0,4,2,2,0,0,0,4
2020-02-19,1.1123618928496892,0.7636546565615778,0.9049676025917812,0.6886858749121574,0.9801682732643449,0.9707242670155792,1.1577059509831773,0.9166666666666666,14.02,-3.3769813921433522,Trend-Up,1,1,2,1,1,1,2,1,2
2020-02-20,-0.37151881509825957,0.6667577198624208,0.1166977032898786,0.49893692416725727,1.1361610213429614,1.0009773077689068,1.1396679557783809,0.5833333333333334,13.7,-2.2824536376604865,Range,0,0,3,0,3,0,0,3,3
2020-02-24,-2.0813932794463974,1.683517338157469,0.08034145116746186,0.19790940766550522,1.0047723430477629,1.2475416086654258,1.0699790477549367,1.0,17.0,24.087591240875916,Trend-Down,2,3,0,5,0,2,1,0,0
2020-02-25,-0.2662856949633974,0.8743081395841602,0.17450315075133363,0.33356692361597756,0.946100513124088,0.8075465510214073,0.9609619814065883,0.5833333333333334,16.9,-0.5882352941176561,Range,0,0,4,4,3,0,0,3,4
2020-02-26,-1.0120445163969816,1.2300381042085853,0.27079707622693866,0.27487821851078637,1.0393980348997502,0.9843506114014353,0.9546050739326202,1.0,18.26,8.047337278106536,Trend-Down,2,3,0,2,2,0,1,0,0
2020-02-27,-0.38703600633643864,1.0929830744500668,0.7597325992921653,0.29481792717086835,1.0219161887652495,1.1523858970624055,0.9457657873503983,0.8333333333333334,17.77,-2.683461117196073,Range,0,0,4,4,4,0,0,0,4
2020-02-28,-3.709609483121723,1.8724752828799072,0.1272943980929713,0.07586206896551724,1.4194017335912668,0.9686204525948685,1.0343582271481635,1.0,23.24,30.782217220033758,Trend-Down,2,3,0,5,0,2,3,4,0
2020-03-02,-0.6159751824491688,3.5638094810356833,0.2432262129804663,0.3419943820224719,1.1303517797360572,1.0011879432146549,1.0698761119697653,0.9166666666666666,25.2,8.43373493975903,Trend-Down,2,3,0,2,2,2,3,4,0
2020-03-03,1.5319664952504919,1.6782709474224407,0.7946758039008931,0.571927374301676,1.0815399480063521,1.195509972843515,0.9690663957644432,1.0,24.54,-2.619047619047621,Trend-Up,1,1,2,1,1,1,2,1,2
2020-03-04,-0.4626967345819244,2.4393387254466337,0.6152304609218434,0.23137254901960785,1.1652198917735928,1.2595178535081029,0.9958553697417747,0.75,24.23,-1.2632436837815786,Range,2,3,0,2,4,0,1,0,0
2020-03-05,0.15998577904186018,1.285828378738128,0.16839199447894893,0.5349766822118588,1.099642598208282,0.9155367021347512,1.2732231871678081,0.5833333333333334,23.25,-4.044572843582339,Range,0,0,3,0,6,0,0,2,3
2020-03-06,-2.480699263466135,1.8899944947199425,0.78021184400578,0.1590612777053455,1.0795547992020667,1.0939765263184633,1.264628246310014,1.0,25.64,10.279569892473116,Range,2,3,0,2,2,2,3,4,0
2020-03-09,-4.895604420603394,4.373555822397835,0.34346970028440277,0.0934640522875817,1.2903400548217785,1.311193791191387,1.2259526658027557,1.0,30.8,20.124804992199685,Trend-Down,2,3,0,5,0,2,3,4,0
2020-03-11,0.06649795004520787,2.018473189015532,0.5892941733775434,0.4294234592445328,1.1982042999594478,1.1351747276105584,1.0811329166614314,0.3333333333333333,31.56,2.467532467532463,Range,0,0,3,0,3,0,0,2,3
2020-03-12,-8.301939111145106,5.555179011798565,0.154199906147348,0.046905537459283386,1.4134859312012076,1.492049967580171,1.070850337757777,1.0,41.16,30.418250950570336,Trend-Down,2,2,1,5,0,2,3,4,1
2020-03-13,3.8065098043305046,16.11469382835101,0.8727131058126857,0.5466045272969374,1.4608218189226045,1.4374922721381012,1.2029099615781038,0.9166666666666666,51.47,25.048590864917397,Trend-Up,2,2,1,3,5,2,3,4,1
2020-03-16,-7.612102217936368,4.752430034574993,0.07389613360786833,0.11861074705111402,1.0946265869279972,1.2704137307903414,1.1535207139209327,1.0,58.88,14.396735962696727,Trend-Down,2,2,1,5,0,2,3,4,1
2020-03-17,-2.5045121447365593,5.444376913254626,0.1053871364194982,0.2854304635761589,0.9857870902869372,1.3687311385627037,1.026418251739103,0.8333333333333334,62.93,6.878396739130421,Trend-Down,2,2,1,3,5,2,3,4,1
2020-03-18,-5.55645390624564,8.50769884753448,0.08570437196391395,0.10700132100396301,1.2332700342918865,1.2425640631116712,1.1861641460062609,1.0,63.96,1.6367392340695952,Trend-Down,2,2,1,3,5,2,3,4,1
2020-03-19,-2.424782731910058,8.990191747998724,0.5800242293713828,0.19499341238471674,1.115769536078022,1.2757711792800908,1.1126301587344025,1.0,72.2,12.883051907442145,Range,2,2,1,3,5,2,3,4,1
